
---------- Begin Simulation Statistics ----------
simSeconds                                   0.015803                       # Number of seconds simulated (Second)
simTicks                                  15803351500                       # Number of ticks simulated (Tick)
finalTick                                 15803351500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    305.78                       # Real time elapsed on the host (Second)
hostTickRate                                 51682004                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     717924                       # Number of bytes of host memory used (Byte)
simInsts                                     49226971                       # Number of instructions simulated (Count)
simOps                                       86555513                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   160988                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     283064                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         63213407                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.284121                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.778743                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        95357477                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  1311014                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       93871615                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4684                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10112974                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          16394186                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 176                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            62976397                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.490584                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.012729                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  31635948     50.23%     50.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10176669     16.16%     66.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5410451      8.59%     74.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3405137      5.41%     80.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4824020      7.66%     88.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3666941      5.82%     93.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2155294      3.42%     97.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1519412      2.41%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    182525      0.29%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              62976397                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  163125     30.65%     30.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     30.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     30.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     30.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     30.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     30.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     30.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     30.65% # attempts to use FU when none available (Count)
